#TYPE Deserialized.System.Object
"ComputerName","GroupName","Type","Name","PSComputerName","RunspaceId","PSShowComputerName"
"UKVMSWEB013","Power Users","Group","UK-SG Hardware Team","UKVMSWEB013","ccdd4879-bb81-4abd-95b4-de5b85af0964","True"
"UKVMSWEB013","Remote Desktop Users","User","ukrctgovardhan","UKVMSWEB013","ccdd4879-bb81-4abd-95b4-de5b85af0964","True"
"UKVMSWEB013","Users","System","INTERACTIVE","UKVMSWEB013","ccdd4879-bb81-4abd-95b4-de5b85af0964","True"
"UKVMSWEB013","Users","System","Authenticated Users","UKVMSWEB013","ccdd4879-bb81-4abd-95b4-de5b85af0964","True"
"UKVMSWEB013","Users","Group","Domain Users","UKVMSWEB013","ccdd4879-bb81-4abd-95b4-de5b85af0964","True"
"UKVMSWEB013","ConfigMgr Remote Control Users","Group","UK-SG SCCM2012 Remote Viewer","UKVMSWEB013","ccdd4879-bb81-4abd-95b4-de5b85af0964","True"
"UKVMSWEB013","Netmon Users","User","svc-SequenceAdmin_T","UKVMSWEB013","ccdd4879-bb81-4abd-95b4-de5b85af0964","True"
"UKVMSAPP031","Administrators","User","K1_Admin","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","Group","Domain Admins","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","Group","UK-SG Member Server Admins","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","oper-Rmills1","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","oper-pmulcare","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","oper-sushah","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","svc-SequenceAdmin_T","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","svc-EfilingWFS_TST","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","oper-vsoares","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","svc-Taxwflslas_TST","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","svc-Portal_TST","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","oper-mfraser","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","svc-Taxworkflow","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","oper-Jmcateer","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","svc-DigitaWFS_TST","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","svc-TaxWFBus","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","JBelling","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","svc-AlphataxWFS","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
"UKVMSAPP031","Administrators","User","UK-svc-SAPWFS_TST","UKVMSAPP031","2d1f7082-2160-433c-a5ad-6ed3dcbf9ba8","True"
